ID,Protein_type,MW,PI_mean,PI_range,Protein_conc,Temperature,Buffer_type,Buffer_pH,Buffer_conc,Salt_type,Salt_conc,Stabilizer_type,Stabilizer_conc,Surfactant_type,Surfactant_conc,Viscosity_100,Viscosity_1000,Viscosity_10000,Viscosity_100000,Viscosity_15000000
F164,Adalimumab,148,8.7,0.3,139,25,Acetate,5,20,none,0,none,0,none,0,7,5.7,5.7,4.54,2.28
F165,Adalimumab,148,8.7,0.3,100,25,Acetate,5,20,none,0,none,0,none,0,4,3.4,3.1,2.9,1.45
F166,Adalimumab,148,8.7,0.3,35,25,Acetate,5,20,none,0,none,0,tween-80,0.1,1.6,1.6,1.6,1.6,1.27
F167,Adalimumab,148,8.7,0.3,35,25,Acetate,5,20,none,0,Sucrose,0.5,none,0,2.14,2.14,2.14,2.1,1.2
F168,Adalimumab,148,8.7,0.3,52,25,Acetate,5,20,none,0,Sucrose,0.25,tween-80,0.05,2.2,2.2,2.2,2.2,2
F169,Adalimumab,148,8.7,0.3,100,25,Histidine,6,15,none,0,none,0,none,0,3.5,2.9,2.7,2.5,1.3
F170,Adalimumab,148,8.7,0.3,52,25,Histidine,6,15,none,0,Sucrose,0.5,none,0,3,2.7,2.2,1.8,1.2
F171,Adalimumab,148,8.7,0.3,52,25,Histidine,6,15,none,0,Sucrose,0.25,tween-80,0.05,3,2.6,1.85,1.8,1.15
F172,Adalimumab,148,8.7,0.3,35,25,Histidine,6,15,none,0,Sucrose,0.5,tween-80,0.1,2,2,1.9,1.9,1.9
F173,Bevacizumab,149,8.3,0.3,146,25,Acetate,5,20,none,0,none,0,none,0,3.5,3.5,3.5,3,1.75
F174,Bevacizumab,149,8.3,0.3,136,25,Histidine,6,15,none,0,none,0,none,0,3.6,3.6,3.3,3,1.66
F175,Bevacizumab,149,8.3,0.3,100,25,Histidine,6,15,none,0,none,0,none,0,3.3,3,2.55,2.55,1.4
F176,Bevacizumab,149,8.3,0.3,50,25,Histidine,6,15,none,0,Sucrose,0.5,none,0,1.77,1.77,1.77,1.65,1.3
F177,Bevacizumab,149,8.3,0.3,60,25,Histidine,6,15,none,0,Sucrose,0.25,tween-80,0.1,2.5,2.5,2.2,2.2,1.1
F178,Bevacizumab,149,8.3,0.3,80,25,Histidine,6,15,none,0,none,0,tween-80,0.1,2.5,2.5,2.5,2.5,2.1
F179,Bevacizumab,149,8.3,0.3,75,25,Acetate,5,20,none,0,none,0,none,0,1.5,1.5,1.5,1.4,1.15
F180,Bevacizumab,149,8.3,0.3,50,25,Acetate,5,20,none,0,Sucrose,0.5,tween-80,0.05,2.18,2.18,2.18,2.18,2.1
F181,Bevacizumab,149,8.3,0.3,75,25,Acetate,5,20,none,0,none,0,tween-80,0.05,1.9,1.8,1.8,1.8,1.8
F182,Bevacizumab,149,8.3,0.3,100,25,Acetate,5,20,none,0,Sucrose,0.25,tween-80,0.1,2.8,2.6,2.25,2,1.2
F183,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,3.77,3.77,3.77,3.77,3.77
F184,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,4.38,4.38,4.38,4.38,4.38
F185,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,2.8,2.8,2.8,2.8,2.8
F186,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,1,none,0,2.41,2.41,2.41,2.41,2.41
F187,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,3.03,3.03,3.03,3.03,3.03
F188,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,2.6,2.6,2.6,2.6,2.6
F189,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,1.93,1.93,1.93,1.93,1.93
F190,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.75,none,0,2.6,1.67,1.67,1.67,1.67
F191,none,0,0,0,0,15,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,2.22,2.22,2.22,2.22,2.22
F192,none,0,0,0,0,20,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,1.92,1.92,1.92,1.92,1.92
F193,none,0,0,0,0,30,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,1.42,1.42,1.42,1.42,1.42
F194,none,0,0,0,0,35,PBS,7.4,10,NaCl,140,Sucrose,0.5,none,0,1.22,1.22,1.22,1.22,1.22
